,,,,,,
Terms,Coef,SE Coef,95% CI,T-Value,P-Value,VIF
Holly,-0.476,0.734,"(-1.914, 0.962)",-0.65,0.517,3.03
Holmdel,-0.508,0.67,"(-1.822, 0.805)",-0.76,0.448,5.05
Holmes,-0.423,0.846,"(-2.081, 1.235)",-0.5,0.617,2.01
Holtsville,-0.774,0.847,"(-2.434, 0.887)",-0.91,0.361,2.02
Honeoye Falls,-0.356,0.734,"(-1.794, 1.083)",-0.48,0.628,3.03
Hood River,-0.027,0.607,"(-1.216, 1.162)",-0.04,0.964,50.48
Hooksett,-0.362,0.632,"(-1.600, 0.876)",-0.57,0.567,10.1
Hopewell Junction,0.563,0.67,"(-0.750, 1.876)",0.84,0.401,5.05
Hopkins,-0.233,0.657,"(-1.520, 1.055)",-0.35,0.723,6.07
Hornbrook,1.636,0.846,"(-0.023, 3.295)",1.93,0.053,2.02
Horseheads,-0.092,0.734,"(-1.530, 1.346)",-0.13,0.9,3.03
Houston,-0.067,0.641,"(-1.323, 1.190)",-0.1,0.917,8.09
Howard Beach,-0.335,0.846,"(-1.994, 1.324)",-0.4,0.692,2.02
Howe,0.067,0.846,"(-1.592, 1.726)",0.08,0.937,2.02
Howell,-0.37,0.734,"(-1.808, 1.069)",-0.5,0.614,3.03
Howland,-0.564,0.846,"(-2.223, 1.095)",-0.67,0.505,2.02
Hubbard,0.734,0.734,"(-0.706, 2.174)",1,0.318,3.04
Hudson,0.573,0.847,"(-1.087, 2.233)",0.68,0.499,2.02
Hudsonville,-0.079,0.656,"(-1.366, 1.208)",-0.12,0.904,6.07
Humble,1.659,0.734,"(0.222, 3.097)",2.26,0.024,3.03
Huntington,-0.119,0.624,"(-1.342, 1.104)",-0.19,0.849,13.14
Huntington Station,0.168,0.734,"(-1.270, 1.606)",0.23,0.819,3.03
Huntley,0.661,0.733,"(-0.775, 2.098)",0.9,0.367,3.02
Huntsville,-0.084,0.734,"(-1.523, 1.354)",-0.11,0.909,3.03
Hurley,1.155,0.656,"(-0.131, 2.441)",1.76,0.078,6.06
Hurricane,-0.377,0.847,"(-2.038, 1.284)",-0.45,0.656,2.02
Hurst,-0.1,0.648,"(-1.369, 1.170)",-0.15,0.878,7.08
Hutchins,1.367,0.851,"(-0.301, 3.035)",1.61,0.108,2.04
Huttonsville,1.33,0.734,"(-0.109, 2.770)",1.81,0.07,3.04
Idanha,-0.34,0.848,"(-2.001, 1.322)",-0.4,0.689,2.02
Idleyld Park,-0.155,0.847,"(-1.815, 1.506)",-0.18,0.855,2.02
Imlay,0.726,0.846,"(-0.933, 2.385)",0.86,0.391,2.02
Independence,0.011,0.619,"(-1.203, 1.225)",0.02,0.986,16.17
Indianapolis,0.214,0.605,"(-0.971, 1.400)",0.35,0.723,57.27
Ingleside,0.863,0.847,"(-0.798, 2.524)",1.02,0.308,2.02
Inwood,0.334,0.734,"(-1.105, 1.772)",0.45,0.649,3.03
Inyokern,0.429,0.738,"(-1.017, 1.875)",0.58,0.561,3.06
Iowa City,-0.305,0.693,"(-1.664, 1.053)",-0.44,0.66,4.06
Irving,0.167,0.626,"(-1.059, 1.394)",0.27,0.789,12.12
Irvington,-0.495,0.67,"(-1.807, 0.818)",-0.74,0.46,5.05
Irwin,-0.208,0.846,"(-1.867, 1.451)",-0.25,0.806,2.02
Iselin,0.005,0.734,"(-1.433, 1.443)",0.01,0.995,3.03
Island Falls,-0.64,0.847,"(-2.300, 1.020)",-0.76,0.45,2.02
Islandia,-0.302,0.846,"(-1.961, 1.357)",-0.36,0.721,2.02
Itasca,0.542,0.847,"(-1.118, 2.201)",0.64,0.522,2.02
Ithaca,1.304,0.735,"(-0.136, 2.744)",1.77,0.076,3.04
Jackson,-0.107,0.647,"(-1.376, 1.162)",-0.17,0.869,7.07
Jackson Heights,1.845,0.846,"(0.186, 3.504)",2.18,0.029,2.02
Jacksonville,-0.069,0.671,"(-1.383, 1.245)",-0.1,0.918,5.06
Jamaica,-0.414,0.691,"(-1.769, 0.941)",-0.6,0.549,4.03
Jamestown,1.427,0.737,"(-0.019, 2.872)",1.94,0.053,3.06
Jamesville,-0.37,0.846,"(-2.029, 1.289)",-0.44,0.662,2.02
Jefferson,-0.248,0.67,"(-1.563, 1.066)",-0.37,0.711,5.06
Jefferson City,-0.475,0.734,"(-1.914, 0.965)",-0.65,0.518,3.04
Jenison,-0.315,0.846,"(-1.974, 1.344)",-0.37,0.71,2.02
Jericho,0.117,0.692,"(-1.239, 1.473)",0.17,0.866,4.04
Jerome,-0.449,0.734,"(-1.888, 0.990)",-0.61,0.541,3.04
Jewett City,1.402,0.733,"(-0.036, 2.839)",1.91,0.056,3.03
John Day,-1.537,0.738,"(-2.984, -0.091)",-2.08,0.037,3.07
Johnstown,-0.405,0.691,"(-1.761, 0.950)",-0.59,0.558,4.04
Joseph,-0.353,0.847,"(-2.013, 1.307)",-0.42,0.677,2.02
Junction City,-0.502,0.847,"(-2.163, 1.159)",-0.59,0.554,2.02
Justice,0.562,0.656,"(-0.725, 1.849)",0.86,0.392,6.07
Kalamazoo,0.322,0.67,"(-0.991, 1.635)",0.48,0.631,5.05
Kansas City,0.138,0.606,"(-1.050, 1.327)",0.23,0.819,43.27
Kansasville,1.596,0.733,"(0.160, 3.033)",2.18,0.029,3.03
Katonah,-0.467,0.734,"(-1.905, 0.971)",-0.64,0.524,3.03
Kaycee,0.31,0.861,"(-1.378, 1.998)",0.36,0.719,2.09
Kaysville,0.644,0.845,"(-1.013, 2.301)",0.76,0.446,2.01
Kearny,0.001,0.692,"(-1.355, 1.357)",0,0.999,4.04
Keasbey,-0.418,0.848,"(-2.080, 1.244)",-0.49,0.622,2.02
Keene,0.993,0.847,"(-0.667, 2.653)",1.17,0.241,2.02
Kellogg,-0.32,0.847,"(-1.979, 1.340)",-0.38,0.705,2.02
Kelso,0.711,0.734,"(-0.728, 2.150)",0.97,0.333,3.03
Kemmerer,0.91,0.77,"(-0.599, 2.419)",1.18,0.237,3.34
Kenna,-0.376,0.734,"(-1.815, 1.063)",-0.51,0.608,3.03
Keno,-0.416,0.847,"(-2.076, 1.243)",-0.49,0.623,2.02
Kenosha,0.665,0.635,"(-0.580, 1.909)",1.05,0.295,9.07
Kent,0.061,0.622,"(-1.158, 1.280)",0.1,0.922,14.14
Kerby,-0.214,0.847,"(-1.874, 1.446)",-0.25,0.801,2.02
Kernersville,0.596,0.657,"(-0.692, 1.884)",0.91,0.364,6.07
Kimberly,-0.143,0.846,"(-1.802, 1.517)",-0.17,0.866,2.02
King City,-0.371,0.693,"(-1.730, 0.987)",-0.54,0.592,4.06
Kingsley,0.783,0.657,"(-0.504, 2.071)",1.19,0.233,6.07
Kingsport,1.802,0.847,"(0.142, 3.462)",2.13,0.033,2.02
Kingston,-1.151,0.847,"(-2.811, 0.510)",-1.36,0.174,2.02
Kirkland,-0.312,0.847,"(-1.972, 1.347)",-0.37,0.712,2.02
Kittanning,-0.375,0.734,"(-1.813, 1.063)",-0.51,0.609,3.03
Klamath Falls,-0.223,0.61,"(-1.420, 0.973)",-0.37,0.715,29.28
Knoxville,-0.155,0.625,"(-1.381, 1.071)",-0.25,0.804,12.1
Kutztown,1.356,0.734,"(-0.083, 2.796)",1.85,0.065,3.04
Kyburz,-0.403,0.692,"(-1.760, 0.954)",-0.58,0.56,4.05
La Fayette,0.351,0.733,"(-1.086, 1.789)",0.48,0.632,3.03
La Grande,-0.372,0.609,"(-1.566, 0.822)",-0.61,0.541,33.29
La Grange,0.63,0.636,"(-0.617, 1.878)",0.99,0.322,9.11
La Pine,-0.37,0.734,"(-1.809, 1.068)",-0.5,0.614,3.03
La Porte,0.998,0.847,"(-0.663, 2.659)",1.18,0.239,2.02
La Vergne,-0.161,0.847,"(-1.821, 1.499)",-0.19,0.849,2.02
Lagrangeville,-0.37,0.846,"(-2.029, 1.289)",-0.44,0.662,2.02
Lake Bluff,0.475,0.848,"(-1.188, 2.137)",0.56,0.576,2.03
Lake Dallas,0.803,0.735,"(-0.637, 2.243)",1.09,0.274,3.04
Lake Forest,0.104,0.64,"(-1.152, 1.359)",0.16,0.871,8.08
Lake George,-0.398,0.847,"(-2.058, 1.262)",-0.47,0.638,2.02
Lake Harmony,-1.138,0.846,"(-2.797, 0.520)",-1.35,0.178,2.01
Lake Station,-0.715,0.848,"(-2.377, 0.947)",-0.84,0.399,2.03
Lake Stevens,1.455,0.735,"(0.013, 2.896)",1.98,0.048,3.05
Lake View,1.331,0.736,"(-0.111, 2.773)",1.81,0.07,3.05
Lake Villa,0.415,0.847,"(-1.245, 2.076)",0.49,0.624,2.02
Lake Zurich,0.572,0.693,"(-0.786, 1.929)",0.83,0.409,4.05
Lakeview,-0.216,0.626,"(-1.444, 1.012)",-0.35,0.73,12.14
Lakewood,0.271,0.636,"(-0.975, 1.517)",0.43,0.67,9.1
Lame Deer,-0.613,0.85,"(-2.280, 1.054)",-0.72,0.471,2.04
Lancaster,0.65,0.647,"(-0.619, 1.919)",1,0.316,7.08
Land O Lakes,-1.031,0.847,"(-2.691, 0.629)",-1.22,0.224,2.02
Lanesville,0.228,0.848,"(-1.435, 1.891)",0.27,0.788,2.03
Lansing,1.041,0.612,"(-0.160, 2.241)",1.7,0.089,24.22
Laporte,1.191,0.734,"(-0.248, 2.630)",1.62,0.105,3.03
Latham,-0.309,0.647,"(-1.578, 0.960)",-0.48,0.633,7.08
Lawrence,1.603,0.734,"(0.164, 3.042)",2.18,0.029,3.03
Lawrenceville,0.232,0.692,"(-1.124, 1.589)",0.34,0.737,4.04
Layton,-0.196,0.846,"(-1.855, 1.462)",-0.23,0.816,2.02
Leawood,-0.493,0.691,"(-1.849, 0.862)",-0.71,0.476,4.04
Lebanon,0.528,0.632,"(-0.711, 1.767)",0.84,0.403,10.11
Lebec,-0.254,0.641,"(-1.511, 1.003)",-0.4,0.692,8.1
Lees Summit,-0.306,0.735,"(-1.746, 1.134)",-0.42,0.677,3.04
Leesburg,-0.286,0.846,"(-1.945, 1.372)",-0.34,0.735,2.02
Lehi,-0.143,0.734,"(-1.582, 1.296)",-0.19,0.845,3.03
Lenexa,0.027,0.618,"(-1.184, 1.239)",0.04,0.965,17.18
Lennon,0.341,0.692,"(-1.015, 1.697)",0.49,0.622,4.04
Leonia,-0.711,0.848,"(-2.375, 0.952)",-0.84,0.402,2.03
Levittown,-0.703,0.847,"(-2.364, 0.958)",-0.83,0.407,2.02
Lewis Center,-0.333,0.734,"(-1.773, 1.106)",-0.45,0.65,3.04
Lewisburg,-0.333,0.846,"(-1.992, 1.326)",-0.39,0.694,2.02
Lewiston,1.6,0.734,"(0.162, 3.039)",2.18,0.029,3.03
Lewisville,-0.34,0.734,"(-1.779, 1.099)",-0.46,0.643,3.03
Lexington,-0.157,0.636,"(-1.404, 1.090)",-0.25,0.805,9.11
Liberty,1.422,0.733,"(-0.016, 2.860)",1.94,0.053,3.03
Libertyville,0.294,0.671,"(-1.021, 1.609)",0.44,0.661,5.06
Lilburn,-0.407,0.847,"(-2.067, 1.253)",-0.48,0.63,2.02
Lima,0.186,0.699,"(-1.185, 1.557)",0.27,0.79,4.13
Limon,-2.308,0.887,"(-4.046, -0.570)",-2.6,0.009,2.21
Lincoln,0.088,0.626,"(-1.139, 1.314)",0.14,0.889,12.11
Lincoln City,-0.157,0.735,"(-1.598, 1.284)",-0.21,0.831,3.04
Lincoln Park,0.334,0.636,"(-0.912, 1.581)",0.53,0.599,9.1
Lincolnshire,-0.444,0.847,"(-2.105, 1.216)",-0.52,0.6,2.02
Lincolnwood,-0.47,0.849,"(-2.134, 1.194)",-0.55,0.58,2.03
Linden,-0.257,0.734,"(-1.695, 1.182)",-0.35,0.727,3.03
Lindon,-0.215,0.735,"(-1.655, 1.226)",-0.29,0.77,3.04
Linthicum Heights,0.02,0.671,"(-1.295, 1.335)",0.03,0.976,5.07
Lisle,0.078,0.629,"(-1.155, 1.311)",0.12,0.901,11.13
Lithonia,0.66,0.848,"(-1.002, 2.322)",0.78,0.437,2.02
Little Falls,-0.278,0.67,"(-1.591, 1.036)",-0.41,0.679,5.05
Little Neck,0.016,0.656,"(-1.270, 1.301)",0.02,0.981,6.05
Little Rock,0.783,0.626,"(-0.445, 2.011)",1.25,0.212,12.14
Littleton,-0.15,0.633,"(-1.391, 1.091)",-0.24,0.813,10.14
Livermore,-0.227,0.734,"(-1.665, 1.212)",-0.31,0.758,3.03
Livonia,0.08,0.628,"(-1.151, 1.312)",0.13,0.898,11.11
Lizton,1.633,0.846,"(-0.025, 3.292)",1.93,0.054,2.02
Lockport,1.385,0.736,"(-0.057, 2.827)",1.88,0.06,3.05
Logan,1.299,0.848,"(-0.364, 2.962)",1.53,0.126,2.03
Loleta,0.331,0.692,"(-1.026, 1.688)",0.48,0.632,4.05
Lolo,-0.231,0.846,"(-1.890, 1.428)",-0.27,0.785,2.02
Loma,1.338,0.735,"(-0.104, 2.779)",1.82,0.069,3.04
Lombard,0.016,0.636,"(-1.230, 1.262)",0.02,0.98,9.09
Londonderry,-0.436,0.692,"(-1.791, 0.920)",-0.63,0.529,4.04
Long Beach,1.402,0.847,"(-0.258, 3.063)",1.66,0.098,2.02
Long Creek,-0.315,0.847,"(-1.974, 1.345)",-0.37,0.71,2.02
Long Grove,0.693,0.847,"(-0.967, 2.353)",0.82,0.413,2.02
Long Pond,1.067,0.847,"(-0.593, 2.726)",1.26,0.208,2.02
Longmeadow,-0.476,0.846,"(-2.135, 1.184)",-0.56,0.574,2.02
Lorton,-0.315,0.847,"(-1.975, 1.345)",-0.37,0.71,2.02
Los Altos,-0.227,0.847,"(-1.887, 1.432)",-0.27,0.788,2.02
Louisville,-0.24,0.618,"(-1.451, 0.970)",-0.39,0.697,17.16
Lowell,-0.08,0.846,"(-1.739, 1.579)",-0.1,0.924,2.02
Lowville,1.581,0.735,"(0.141, 3.021)",2.15,0.031,3.04
Lumberville,1.538,0.846,"(-0.122, 3.197)",1.82,0.069,2.02
Lynchburg,-0.358,0.692,"(-1.715, 0.999)",-0.52,0.605,4.05
Lynden,-0.299,0.733,"(-1.735, 1.138)",-0.41,0.683,3.02
Lynnwood,-0.386,0.657,"(-1.673, 0.901)",-0.59,0.557,6.07
Lyons,-0.441,0.734,"(-1.880, 0.998)",-0.6,0.548,3.04
Macomb,0.659,0.733,"(-0.779, 2.096)",0.9,0.369,3.03
Macon,1.129,0.67,"(-0.185, 2.443)",1.68,0.092,5.06
Madera,-0.487,0.847,"(-2.147, 1.173)",-0.58,0.565,2.02
Madison,-0.037,0.629,"(-1.269, 1.196)",-0.06,0.954,11.13
Madras,-0.343,0.656,"(-1.629, 0.943)",-0.52,0.601,6.06
Mahwah,-0.465,0.846,"(-2.124, 1.194)",-0.55,0.583,2.02
Malad City,-0.521,0.749,"(-1.989, 0.948)",-0.7,0.487,3.16
Malta,-0.727,0.749,"(-2.195, 0.742)",-0.97,0.332,3.16
Malvern,-0.366,0.657,"(-1.654, 0.922)",-0.56,0.578,6.08
Malverne,-0.409,0.733,"(-1.846, 1.029)",-0.56,0.577,3.03
Mamaroneck,0.168,0.733,"(-1.270, 1.605)",0.23,0.819,3.03
Manahawkin,-0.163,0.847,"(-1.823, 1.497)",-0.19,0.847,2.02
Manakin Sabot,1.448,0.847,"(-0.213, 3.109)",1.71,0.087,2.02
Manchester,-0.362,0.613,"(-1.565, 0.841)",-0.59,0.555,22.2
Manhasset,0.46,0.846,"(-1.199, 2.119)",0.54,0.587,2.02
Manitowoc,1.394,0.845,"(-0.262, 3.051)",1.65,0.099,2.01
Manns Choice,-0.577,0.846,"(-2.236, 1.082)",-0.68,0.495,2.02
Manorville,-0.527,0.846,"(-2.185, 1.131)",-0.62,0.533,2.02
Mansfield,0.783,0.67,"(-0.530, 2.096)",1.17,0.243,5.05
Maple Grove,0.424,0.692,"(-0.932, 1.781)",0.61,0.54,4.04
Maple Heights,-0.434,0.733,"(-1.871, 1.002)",-0.59,0.553,3.02
Maple Shade,1.711,0.733,"(0.274, 3.148)",2.33,0.02,3.03
Mapleton,-0.154,0.846,"(-1.813, 1.505)",-0.18,0.856,2.02
Marietta,0.916,0.649,"(-0.355, 2.188)",1.41,0.158,7.11
Marion,0.708,0.733,"(-0.729, 2.146)",0.97,0.334,3.03
Marlborough,0.004,0.67,"(-1.310, 1.318)",0.01,0.995,5.06
Marne,-0.289,0.847,"(-1.948, 1.371)",-0.34,0.733,2.02
Marrero,-0.305,0.648,"(-1.576, 0.966)",-0.47,0.638,7.1
Marriottsville,-0.294,0.846,"(-1.953, 1.365)",-0.35,0.728,2.02
Mars,-0.438,0.846,"(-2.097, 1.221)",-0.52,0.605,2.02
Mars Hill,-0.339,0.846,"(-1.998, 1.320)",-0.4,0.689,2.02
Marshall,-0.489,0.848,"(-2.151, 1.173)",-0.58,0.564,2.02
Marshfield,0.36,0.847,"(-1.301, 2.021)",0.42,0.671,2.02
Martin,0.636,0.734,"(-0.802, 2.075)",0.87,0.386,3.03
Marydel,1.572,0.734,"(0.132, 3.011)",2.14,0.032,3.04
Maryland Heights,0.027,0.692,"(-1.329, 1.383)",0.04,0.969,4.04
Marysville,0.165,0.668,"(-1.145, 1.476)",0.25,0.805,5.03
Mason,-0.338,0.846,"(-1.997, 1.321)",-0.4,0.69,2.02
Maspeth,0.477,0.656,"(-0.809, 1.764)",0.73,0.467,6.06
Massapequa,-0.328,0.846,"(-1.987, 1.331)",-0.39,0.699,2.02
Mattawa,1.582,0.849,"(-0.083, 3.247)",1.86,0.063,2.03
Maumee,1.091,0.67,"(-0.222, 2.404)",1.63,0.103,5.05
Maumelle,-0.199,0.848,"(-1.862, 1.464)",-0.23,0.814,2.03
Maupin,-0.332,0.67,"(-1.646, 0.982)",-0.5,0.62,5.06
Max Meadows,-0.159,0.847,"(-1.820, 1.502)",-0.19,0.851,2.02
Mays Landing,-0.598,0.847,"(-2.258, 1.062)",-0.71,0.48,2.02
Mayville,1.702,0.734,"(0.263, 3.141)",2.32,0.02,3.04
Maywood,-0.323,0.847,"(-1.983, 1.336)",-0.38,0.702,2.02
Mc Caskill,-0.225,0.847,"(-1.886, 1.436)",-0.27,0.79,2.02
Mc Donald,-0.344,0.847,"(-2.004, 1.317)",-0.41,0.685,2.02
Mc Ewen,-0.398,0.846,"(-2.057, 1.261)",-0.47,0.638,2.02
Mc Farland,1.363,0.848,"(-0.298, 3.025)",1.61,0.108,2.02
Mc Lean,-0.195,0.67,"(-1.509, 1.118)",-0.29,0.771,5.05
Mcdonough,0.415,0.735,"(-1.026, 1.856)",0.56,0.573,3.04
Meacham,-0.295,0.671,"(-1.610, 1.020)",-0.44,0.66,5.07
Mechanicsville,-0.286,0.734,"(-1.725, 1.153)",-0.39,0.697,3.04
Medford,-0.14,0.619,"(-1.354, 1.074)",-0.23,0.821,16.18
Medical Lake,-0.253,0.846,"(-1.912, 1.406)",-0.3,0.765,2.02
Medina,-0.427,0.847,"(-2.087, 1.232)",-0.5,0.614,2.02
Medway,-0.672,0.847,"(-2.333, 0.988)",-0.79,0.427,2.02
Melissa,1.089,0.733,"(-0.348, 2.527)",1.49,0.138,3.03
Melrose Park,0.213,0.691,"(-1.142, 1.568)",0.31,0.758,4.04
Melville,-0.377,0.692,"(-1.734, 0.979)",-0.55,0.586,4.04
Memphis,-0.325,0.67,"(-1.639, 0.989)",-0.49,0.627,5.06
Merchantville,1.641,0.846,"(-0.018, 3.299)",1.94,0.053,2.02
Meredith,-0.606,0.847,"(-2.267, 1.055)",-0.72,0.474,2.02
Meridian,0.495,0.693,"(-0.863, 1.853)",0.71,0.475,4.05
Merrick,-0.499,0.734,"(-1.938, 0.940)",-0.68,0.497,3.03
Merrill,-0.319,0.847,"(-1.979, 1.341)",-0.38,0.707,2.02
Merrillville,0.779,0.735,"(-0.661, 2.219)",1.06,0.289,3.04
Merrimac,-0.291,0.845,"(-1.949, 1.366)",-0.34,0.73,2.01
Merrimack,-0.502,0.656,"(-1.787, 0.784)",-0.76,0.445,6.06
Metairie,0.091,0.609,"(-1.103, 1.285)",0.15,0.881,35.36
Metropolis,-0.364,0.846,"(-2.022, 1.295)",-0.43,0.667,2.02
Mexico,1.257,0.735,"(-0.183, 2.698)",1.71,0.087,3.04
Miami,1.153,0.663,"(-0.148, 2.453)",1.74,0.082,6.19
Middle Village,0.399,0.848,"(-1.263, 2.062)",0.47,0.638,2.02
Middletown,0.488,0.636,"(-0.758, 1.734)",0.77,0.443,9.09
Midland,1.748,0.846,"(0.090, 3.405)",2.07,0.039,2.01
Midlothian,0.451,0.734,"(-0.989, 1.890)",0.61,0.539,3.04
Midvale,-0.212,0.846,"(-1.871, 1.447)",-0.25,0.802,2.02
Milan,0.444,0.656,"(-0.843, 1.731)",0.68,0.499,6.06
Miles City,0.342,0.848,"(-1.320, 2.003)",0.4,0.687,2.02
Milford,0.543,0.622,"(-0.676, 1.762)",0.87,0.383,14.13
Millbury,0.329,0.692,"(-1.027, 1.685)",0.48,0.634,4.04
Millersburg,1.837,0.734,"(0.397, 3.276)",2.5,0.012,3.04
Millington,1.556,0.734,"(0.118, 2.994)",2.12,0.034,3.03
Millsboro,1.685,0.734,"(0.246, 3.124)",2.29,0.022,3.03
Millville,-0.403,0.692,"(-1.759, 0.953)",-0.58,0.56,4.04
Milroy,1.715,0.734,"(0.277, 3.153)",2.34,0.019,3.03
Milton,0.258,0.615,"(-0.948, 1.463)",0.42,0.675,20.18
Milton Freewater,-0.193,0.692,"(-1.550, 1.164)",-0.28,0.78,4.05
Milwaukee,-0.012,0.617,"(-1.222, 1.198)",-0.02,0.985,17.14
Minneapolis,-0.004,0.604,"(-1.187, 1.180)",-0.01,0.995,71.21
Minnetonka,0.508,0.848,"(-1.155, 2.170)",0.6,0.55,2.03
Mitchell,-0.154,0.734,"(-1.592, 1.285)",-0.21,0.834,3.03
Molalla,-0.006,0.853,"(-1.677, 1.666)",-0.01,0.995,2.05
Mona,-0.738,0.844,"(-2.392, 0.916)",-0.87,0.382,2.01
Monmouth,-0.287,0.848,"(-1.949, 1.375)",-0.34,0.735,2.02
Monmouth Junction,0.502,0.847,"(-1.159, 2.163)",0.59,0.554,2.02
Monroe,1.274,0.657,"(-0.014, 2.562)",1.94,0.053,6.08
Monroe Township,-0.426,0.846,"(-2.085, 1.234)",-0.5,0.615,2.02
Monsey,-0.317,0.846,"(-1.976, 1.343)",-0.37,0.708,2.02
Montgomery,-0.526,0.691,"(-1.881, 0.829)",-0.76,0.447,4.04
Monticello,1.503,0.672,"(0.185, 2.821)",2.24,0.025,5.09
Mooresville,1.705,0.846,"(0.046, 3.363)",2.02,0.044,2.02
Moosup,0.73,0.847,"(-0.931, 2.391)",0.86,0.389,2.02
Morgan,-0.181,0.618,"(-1.393, 1.031)",-0.29,0.77,17.18
Morgantown,-0.418,0.734,"(-1.856, 1.020)",-0.57,0.569,3.03
Morristown,0.539,0.694,"(-0.821, 1.900)",0.78,0.437,4.07
Morrisville,-0.189,0.671,"(-1.504, 1.125)",-0.28,0.778,5.06
Morton,-0.04,0.734,"(-1.478, 1.399)",-0.05,0.957,3.03
Morton Grove,-0.371,0.734,"(-1.810, 1.067)",-0.51,0.613,3.03
Mosheim,-0.286,0.848,"(-1.948, 1.375)",-0.34,0.736,2.02
Mosier,-0.214,0.648,"(-1.484, 1.056)",-0.33,0.741,7.09
Mount Holly,-0.955,0.734,"(-2.394, 0.484)",-1.3,0.193,3.03
Mount Hood Parkdale,-0.087,0.617,"(-1.297, 1.123)",-0.14,0.888,18.2
Mount Jackson,-0.284,0.846,"(-1.943, 1.375)",-0.34,0.737,2.02
Mount Kisco,-0.668,0.733,"(-2.105, 0.770)",-0.91,0.362,3.03
Mount Laurel,-0.201,0.847,"(-1.861, 1.459)",-0.24,0.812,2.02
Mount Morris,-0.591,0.657,"(-1.879, 0.696)",-0.9,0.368,6.07
Mount Prospect,1.837,0.735,"(0.396, 3.278)",2.5,0.012,3.04
Mount Tremper,1.588,0.847,"(-0.072, 3.248)",1.88,0.061,2.02
Mount Vernon,0.543,0.648,"(-0.726, 1.813)",0.84,0.401,7.08
Mountain City,1.408,0.754,"(-0.069, 2.886)",1.87,0.062,3.2
Mountlake Terrace,-0.474,0.846,"(-2.132, 1.183)",-0.56,0.575,2.01
Mukilteo,1.588,0.847,"(-0.072, 3.248)",1.87,0.061,2.02
Mullan,-0.22,0.734,"(-1.658, 1.218)",-0.3,0.764,3.03
Mullica Hill,-0.543,0.734,"(-1.982, 0.896)",-0.74,0.459,3.03
Muncie,1.287,0.844,"(-0.367, 2.941)",1.53,0.127,2.01
Mundelein,-0.462,0.67,"(-1.775, 0.851)",-0.69,0.49,5.05
Murfreesboro,0.729,0.657,"(-0.558, 2.017)",1.11,0.267,6.07
Muskegon,-0.324,0.847,"(-1.984, 1.337)",-0.38,0.702,2.02
Myers Flat,1.667,0.846,"(0.009, 3.326)",1.97,0.049,2.02
Myersville,1.254,0.657,"(-0.034, 2.541)",1.91,0.056,6.07
Myrtle Creek,-0.286,0.847,"(-1.947, 1.374)",-0.34,0.735,2.02
Myrtle Point,1.337,0.736,"(-0.105, 2.779)",1.82,0.069,3.05
Nanuet,0.198,0.67,"(-1.115, 1.511)",0.3,0.768,5.05
Napa,-0.387,0.847,"(-2.047, 1.273)",-0.46,0.648,2.02
Naperville,0.394,0.847,"(-1.266, 2.054)",0.47,0.642,2.02
Nappanee,1.418,0.735,"(-0.022, 2.858)",1.93,0.054,3.04
Nashua,-0.276,0.622,"(-1.496, 0.944)",-0.44,0.657,14.15
Nashville,0.235,0.613,"(-0.966, 1.436)",0.38,0.701,24.24
Naugatuck,1.702,0.734,"(0.263, 3.142)",2.32,0.02,3.04
Nazareth,1.634,0.734,"(0.196, 3.073)",2.23,0.026,3.03
Nebo,-0.336,0.847,"(-1.996, 1.324)",-0.4,0.691,2.02
Nederland,0.746,0.862,"(-0.942, 2.435)",0.87,0.386,2.09
Nedrow,-0.61,0.846,"(-2.269, 1.049)",-0.72,0.471,2.02
Nehalem,-0.142,0.61,"(-1.337, 1.053)",-0.23,0.816,33.37
Nephi,0.133,0.626,"(-1.095, 1.360)",0.21,0.832,12.13
Neptune,0.192,0.656,"(-1.093, 1.478)",0.29,0.77,6.05
Neskowin,-0.02,0.609,"(-1.214, 1.173)",-0.03,0.974,36.37
New Albany,0.134,0.692,"(-1.221, 1.490)",0.19,0.846,4.04
New Baltimore,-0.658,0.847,"(-2.320, 1.003)",-0.78,0.437,2.02
New Britain,0.589,0.656,"(-0.698, 1.876)",0.9,0.37,6.07
New Castle,1.181,0.67,"(-0.133, 2.495)",1.76,0.078,5.06
New City,-0.253,0.845,"(-1.910, 1.403)",-0.3,0.764,2.01
New Florence,-0.364,0.692,"(-1.721, 0.992)",-0.53,0.599,4.05
New Gloucester,-0.555,0.692,"(-1.911, 0.801)",-0.8,0.422,4.04
New Hampton,-0.617,0.734,"(-2.056, 0.821)",-0.84,0.4,3.03
New Harmony,-0.158,0.692,"(-1.514, 1.199)",-0.23,0.82,4.05
New Haven,-0.058,0.656,"(-1.345, 1.229)",-0.09,0.93,6.06
New Hope,1.538,0.846,"(-0.122, 3.197)",1.82,0.069,2.02
New Hyde Park,-0.362,0.846,"(-2.021, 1.297)",-0.43,0.669,2.02
New London,-0.258,0.636,"(-1.503, 0.988)",-0.41,0.685,9.09
New Market,-0.453,0.846,"(-2.112, 1.205)",-0.54,0.592,2.02
New Milford,1.046,0.637,"(-0.202, 2.294)",1.64,0.101,9.12
New Orleans,-0.037,0.603,"(-1.219, 1.145)",-0.06,0.951,103.14
New Paltz,-1.525,0.848,"(-3.187, 0.138)",-1.8,0.072,2.03
New Rochelle,0.269,0.692,"(-1.088, 1.625)",0.39,0.698,4.04
